seed,config,type,totalJobs,finishedJobs,avgCompletion,avgWaiting,util
4096829226,config.txt,da_truth,999,707,8.0976,5.18388,0.480137
4096829226,config.txt,da_strat,999,708,8.41384,5.52966,0.484882
4096829227,config.txt,base_truth,999,752,27.1569,24.1862,0.610084
4096829227,config.txt,base_strat,999,758,26.3971,23.4261,0.609515
4096829227,config.txt,da_truth,999,755,9.21457,6.2106,0.493658
4096829227,config.txt,da_strat,999,750,8.62133,5.63733,0.492312
4096829228,config.txt,base_truth,999,767,24.7001,21.7771,0.59462
4096829228,config.txt,base_strat,999,768,25.2044,22.2826,0.596674
4096829228,config.txt,da_truth,999,759,8.92095,5.96574,0.481242
4096829228,config.txt,da_strat,999,766,9.39556,6.46867,0.490438
4096829229,config.txt,base_truth,999,817,21.6499,18.6928,0.614146
4096829229,config.txt,base_strat,999,816,20.7549,17.799,0.611558
4096829229,config.txt,da_truth,999,796,7.80779,4.83543,0.497364
4096829229,config.txt,da_strat,999,790,7.88608,4.90633,0.500863
4096829230,config.txt,base_truth,999,886,17.3995,14.4187,0.613774
4096829230,config.txt,base_strat,999,886,17.1016,14.1253,0.614586
4096829230,config.txt,da_truth,999,831,7.77858,4.79543,0.500171
4096829230,config.txt,da_strat,999,824,7.80704,4.83131,0.500085
4096829231,config.txt,base_truth,999,805,22.7478,19.7416,0.619849
4096829231,config.txt,base_strat,999,809,23.1199,20.1199,0.62004
4096829231,config.txt,da_truth,999,794,7.42569,4.42947,0.504888
4096829231,config.txt,da_strat,999,792,8.22222,5.22475,0.508146
4096829232,config.txt,base_truth,999,863,20.4554,17.4948,0.609497
4096829232,config.txt,base_strat,999,859,20.3923,17.4284,0.60621
4096829232,config.txt,da_truth,999,835,7.81916,4.8491,0.50147
4096829232,config.txt,da_strat,999,829,8.00724,5.03136,0.503114
4096829233,config.txt,base_truth,999,812,19.681,16.7032,0.6214
4096829233,config.txt,base_strat,999,810,19.5395,16.5543,0.618497
4096829233,config.txt,da_truth,999,796,7.83543,4.87563,0.499548
4096829233,config.txt,da_strat,999,791,8.16435,5.21365,0.50564
4096829234,config.txt,base_truth,999,855,18.1778,15.283,0.610732
4096829234,config.txt,base_strat,999,852,18.3709,15.4636,0.608725
4096829234,config.txt,da_truth,999,816,7.61765,4.69975,0.49012
4096829234,config.txt,da_strat,999,814,7.77764,4.85504,0.493599
4096829235,config.txt,base_truth,999,811,21.2182,18.1726,0.616472
4096829235,config.txt,base_strat,999,810,21.3346,18.2914,0.612812
4096829235,config.txt,da_truth,999,797,8.79297,5.77164,0.496637
4096829235,config.txt,da_strat,999,794,9.85264,6.84005,0.498467
4096829236,config.txt,base_truth,999,810,23.437,20.484,0.613258
4096829236,config.txt,base_strat,999,809,23.0705,20.1088,0.610267
4096829236,config.txt,da_truth,999,796,9.00251,6.04523,0.499397
4096829236,config.txt,da_strat,999,795,8.95472,6.01132,0.501954
4096829237,config.txt,base_truth,999,729,25.7339,22.727,0.604424
4096829237,config.txt,base_strat,999,727,25.9161,22.9106,0.603829
4096829237,config.txt,da_truth,999,727,8.2022,5.18982,0.483113
4096829237,config.txt,da_strat,999,718,7.53621,4.49164,0.488171
4096829238,config.txt,base_truth,999,797,24.3513,21.4053,0.611714
4096829238,config.txt,base_strat,999,790,24.5215,21.581,0.608332
4096829238,config.txt,da_truth,999,779,8.76252,5.78177,0.49993
4096829238,config.txt,da_strat,999,767,8.94263,5.96089,0.496266
4096829239,config.txt,base_truth,999,872,18.2076,15.2167,0.621144
